Breed,HT,WT,log(WT),AgeAtDeath,UKKC LS,MichellLS,VMDBLS,Greer
Affenpinscher,10.3,8.0,0.9,13.0,11.4,,,13
Afghan Hound,27.0,60.0,1.8,12.0,11.9,12,9.1,13
Airedale Terrier,23.0,55.0,1.7,11.2,10.8,11,8.2,11
Akita,27.0,107.5,2.0,11.0,9.9,,5.3,11
Alaskan Malamute,24.0,80.0,1.9,12.0,10.7,,7.0,12
American Cocker Spaniel,15.0,27.5,1.4,12.5,10.3,13,7.3,12.5
American Eskimo,13.5,15.0,1.2,13.5,,,8.0,
American Pit Bull Terrier,19.5,62.5,1.8,11.0,,,,
American Staffordshire Terrier,15.0,33.0,1.5,13.0,12.8,10,4.7,9
American Water Spaniel,16.5,37.5,1.6,11.0,,,,
Australian Cattle Dog,19.0,45.0,1.7,13.5,11.7,,5.9,13.5
Australian Shepherd,21.5,60.0,1.8,13.0,9.0,,6.4,13.5
Australian Terrier,10.0,11.5,1.1,15.0,12.1,,,13
Basenji,17.0,24.0,1.4,11.0,13.6,,,12
Basset Hound,14.0,45.0,1.7,12.8,11.3,13,7.3,11
Beagle,14.0,26.0,1.4,13.3,12.7,13,7.0,13
Bearded Collie,23.3,56.3,1.8,12.3,13.5,12,,0
Bedlington Terrier,16.0,20.0,1.3,14.3,13.4,14,,
Belgian Malinois,25.0,67.5,1.8,11.0,,,,11
Belgian Sheepdog,24.0,68.0,1.8,12.2,12.5,,,12
Belgian Tervuren,25.0,72.5,1.9,13.0,,,,12
Bernese Mountain Dog,26.0,85.0,1.9,7.0,8.0,7,,0
Bichon Frise,10.0,14.0,1.1,15.5,12.9,,7.4,13.5
Black Russian Terrier,28.5,110.0,2.0,12.0,,,,
Bloodhound,26.0,90.0,2.0,8.5,6.8,,,8
Border Collie,22.8,56.3,1.8,13.0,12.3,13,7.2,13.5
Border Terrier,14.0,14.0,1.1,13.8,14.0,14,,14
Borzoi,28.0,90.0,2.0,11.0,9.1,,,13
Boston Terrier,16.0,20.0,1.3,15.0,10.9,,7.9,13
Bouvier Des Flanders,25.5,95.0,2.0,11.0,11.3,,,11
Boxer,23.5,70.0,1.8,10.4,10.4,10,6.6,11
Briard,25.0,85.0,1.9,11.0,11.2,,,
Brittany Spaniel,18.5,35.0,1.5,12.5,12.9,,8.1,11.5
Brussels Griffon,7.5,9.0,1.0,13.5,12.0,,,
Bull Terrier,19.5,62.5,1.8,12.9,10.0,13,,12
Bulldog,23.5,50.0,1.7,6.7,6.7,7,4.9,9
Bullmastiff,28.0,143.8,2.2,8.6,7.5,9,,8
Cairn Terrier,10.0,14.0,1.1,13.2,14.0,13,9.2,13.5
Cardigan Welsh Corgi,11.0,27.5,1.4,13.0,12.7,11,,13.5
Cavalier King Charles Spaniel,12.5,15.5,1.2,10.7,11.4,11,,13
Cesky Terrier,11.5,18.0,1.3,11.5,8.4,,,
Chesapeake Bay Retriever,24.5,72.5,1.9,11.0,10.8,,6.3,11
Chihuahua,6.0,4.0,0.6,13.0,,13,7.4,15
Chinese Crested,12.0,9.0,1.0,12.0,10.1,,,11
Chinese Shar-Pei,19.0,52.5,1.7,9.0,,,4.2,10
Chow Chow,18.5,60.0,1.8,13.5,,14,5.3,14.5
Clumber Spaniel,19.5,77.5,1.9,12.5,,,,0
Collie,25.0,67.5,1.8,12.0,,13,7.8,14
Curly Coated Retriever,26.0,82.5,1.9,13.0,10.8,,,
Dachshund,7.0,15.0,1.2,12.2,12.7,12,7.8,13.5
Dalmatian,21.5,60.0,1.8,13.0,13.0,13,6.0,
Dandie Dinmont Terrier,9.5,21.0,1.3,12.0,12.2,,,
Doberman Pinscher,27.0,75.0,1.9,9.8,9.8,10,7.3,10
Dogue de Bordeaux,26.5,132.5,2.1,10.0,3.8,,,
English Bulldog,23.5,50.0,1.7,11.0,,,,
English Cocker Spaniel,16.5,31.0,1.5,11.8,11.2,12,,
English Setter,25.5,67.5,1.8,11.2,11.6,11,8.3,
English Springer Spaniel,20.0,50.0,1.7,13.0,12.0,13,8.0,13
Field Spaniel,18.0,45.0,1.7,13.0,11.7,,,
Flat Coated Retriever,23.5,67.5,1.8,9.5,9.8,10,,12
Fox Terrier,15.0,17.5,1.2,13.0,13.2,,8.3,
Fox Terrier toy,10.0,6.0,0.8,14.0,,,,13.5
French Bulldog,17.8,36.8,1.6,10.0,9.0,,,11
German Shepherd,25.0,82.5,1.9,10.3,,10,7.4,11.5
German Shorthaired Pointer,23.0,57.5,1.8,12.3,12.0,12,7.5,13
German Wire-haired Pointer,24.0,65.0,1.8,13.0,10.0,,,11
Giant Schnauzer,26.0,70.0,1.8,11.0,10.0,,,13.5
Glen of Imaal Terrier,14.0,35.0,1.5,13.5,10.4,,,
Golden Retriever,23.5,70.0,1.8,12.0,12.3,12,8.0,11
Gordon Setter,25.5,67.5,1.8,11.3,11.1,11,,
Great Dane,32.0,140.0,2.1,8.4,6.5,8,5.7,8.5
Greater Swiss Mountain Dog,26.5,135.0,2.1,10.2,,,,
Greyhound,29.0,67.5,1.8,13.2,9.1,13,5.3,13
Havanese,9.5,10.0,1.0,14.5,10.3,,,14.5
Hungarian Vizsla,23.0,50.0,1.7,12.5,,13,,13.5
Ibizan Hound,25.0,50.0,1.7,11.0,,,,12
Irish Red and White Setter,24.0,63.0,1.8,12.9,11.4,13,,13.5
Irish Setter,27.0,70.0,1.8,11.8,12.0,12,9.7,
Irish Terrier,18.0,27.0,1.4,14.0,,,,
Irish Water Spaniel,23.0,60.0,1.8,11.0,9.3,,,11.5
Irish Wolfhound,32.0,120.0,2.1,6.2,7.0,6,5.5,7
Italian Greyhound,21.5,37.8,1.6,15.0,13.5,,,13.5
Italian Spinone,24.5,70.0,1.8,13.0,9.0,,,
Jack Russell Terrier,13.0,15.0,1.2,13.6,,14,,15
Japanese Chin,9.5,9.0,1.0,13.0,9.3,,,13
Japanese Shiba Inu,15.0,25.0,1.4,13.5,,,,
Keeshond,18.0,55.0,1.7,13.0,12.2,,8.3,
Kerry Blue Terrier,18.0,36.5,1.6,13.0,,,,13.5
Komondor,27.0,100.0,2.0,12.0,9.2,,,
Labrador Retriever,23.0,72.5,1.9,12.6,12.3,13,7.0,13
Lakeland Terrier,14.0,17.0,1.2,13.5,,,,
Leonberger,29.0,135.0,2.1,12.0,7.1,,,
Lhasa Apso,10.5,14.0,1.1,16.0,14.3,9,7.9,16.5
Maltese,9.0,7.0,0.8,13.5,12.3,,6.8,15
Manchester Terrier,16.0,18.0,1.3,15.0,12.8,,,15
Mastiff,30.0,160.0,2.2,7.5,,,4.7,8
Miniature Bull Terrier,19.5,62.5,1.8,12.5,6.1,,,11
Miniature Pinscher,11.0,9.0,1.0,15.0,,,,15
Miniature Poodle,13.0,16.0,1.2,16.0,13.9,15,10.3,13.5
Miniature Schnauzer,13.0,14.0,1.1,15.0,12.1,9,9.0,15
Newfoundland,28.0,140.0,2.1,10.0,9.7,,5.1,9
Norfolk Terrier,9.5,11.5,1.1,10.0,11.0,10,,
Norwegian Elkhound,20.0,55.0,1.7,11.5,,,8.5,
Norwich Terrier,10.0,11.0,1.0,13.0,13.4,,,13.5
Nova Scotia Duck Tolling Retriever,19.0,42.5,1.6,13.0,8.0,,,13
Old English Sheepdog,22.0,65.0,1.8,11.8,10.8,12,8.1,11
Papillon,9.5,9.0,1.0,13.5,,,,16
Pekingese,7.5,9.0,1.0,13.3,11.4,13,7.9,12.5
Pembroke Welsh Corgi,11.0,34.0,1.5,12.0,12.3,,,13.5
Petit Basset Griffon Vendeen,7.5,9.0,1.0,12.0,,,,
Pharaoh Hound,24.0,50.0,1.7,12.0,11.8,,,12.5
Pit Bull Terrier,19.5,62.5,1.8,11.0,,,,0
Pointer,26.5,65.0,1.8,14.0,12.4,,6.0,13.5
Pomeranian,8.5,5.0,0.7,15.0,9.7,,6.7,12
Poodle,13.0,16.0,1.2,15.0,,,,
Portuguese Water Dog,21.5,55.0,1.7,12.0,11.4,,,
Pug,13.0,16.0,1.2,13.0,11.0,,5.5,13.5
Pyrenean Mountain Dog,28.0,93.0,2.0,12.0,,,5.6,
Rhodesian Ridgeback,26.0,85.0,1.9,9.1,,9,,11
Rottweiler,25.0,112.5,2.1,9.8,8.9,10,4.8,10.5
Saint Bernard,28.0,150.0,2.2,9.0,7.0,4,6.5,9
Saluki,25.0,52.5,1.7,12.5,12.0,,,12
Samoyed,22.0,55.0,1.7,11.0,12.5,11,8.2,13.5
Schipperke,12.0,14.0,1.1,17.0,13.0,,,15
Schnauzer,19.0,37.5,1.6,13.0,,,,
Scottish Deerhound,31.0,87.5,1.9,9.5,8.7,10,,9
Scottish Terrier,10.0,20.5,1.3,12.0,10.3,12,9.1,12
Sealyham Terrier,10.0,23.5,1.4,13.0,12.3,,,
Shetland Sheepdog,14.0,25.0,1.4,13.3,12.5,13,8.5,13
Shih Tzu,10.0,12.5,1.1,13.4,13.2,13,7.1,13.5
Siberian Husky,22.0,52.5,1.7,12.0,12.6,,7.4,13
Silky Terrier,9.0,9.0,1.0,12.5,14.3,,,
Soft Coated Wheaten Terrier,18.0,37.5,1.6,13.5,12.5,,,14
Staffordshire Bull Terrier,17.3,47.8,1.7,10.0,,,,13
Standard Poodle,24.0,55.0,1.7,12.0,12.0,12,9.1,11.5
Standard Schnauzer,19.0,37.5,1.6,13.0,,,8.7,13.5
Sussex Spaniel,14.0,40.0,1.6,11.5,11.2,,,
Tibetan Spaniel,10.0,12.0,1.1,15.0,14.4,,,13.5
Tibetan Terrier,15.0,24.0,1.4,14.3,12.2,14,,
Toy Manchester Terrier,9.0,10.0,1.0,15.5,12.0,,,15
Toy Poodle,10.0,9.0,1.0,16.0,14.7,14,8.8,13.5
Weimaraner,25.5,62.5,1.8,10.0,,10,7.6,11
Welsh Springer Spaniel,18.0,42.5,1.6,11.5,12.6,12,,
Welsh Terrier,15.0,20.0,1.3,11.0,,,,13.5
West Highland White Terrier,11.0,18.5,1.3,12.8,,13,9.0,15
Whippet,19.0,23.0,1.4,14.3,12.8,14,,13.5
Wirehaired Pointing Griffon,23.0,55.0,1.7,12.0,,,,
Yorkshire Terrier,6.0,6.0,0.8,12.8,,13,6.9,15